col1,col2,col3,col4
16259,11923,5501,17539
911,20247,6142,2162
20108,26978,28286,23065
20088,11656,15950,12694
16268,23439,29805,26915
14065,4679,8783,6444
8295,22721,2828,21732
27749,7521,14059,16891
18504,23212,24394,20156
8850,24492,17554,4400
7836,27668,12169,27598
15427,14443,11136,25070
28562,24329,14174,19183
24593,21037,10296,29314
1405,6114,643,6370
25922,17573,16891,7654
5398,29820,16708,12894
22854,15644,10109,9000
3007,28898,3999,11674
16977,16930,21154,9552
6175,3442,2935,11447
27050,26812,9492,24402
21265,26876,27532,16255
6398,9165,3996,1239
3593,17853,14759,24917
3408,3453,2817,19281
4770,11786,28813,13925
4215,10522,24495,16205
1553,22174,3714,11918
18520,18384,14702,28160
16665,3915,27169,4630
7027,526,29430,21017
16843,24924,10151,16206
23426,620,1633,3701
12871,6900,18908,15463
11943,29943,10862,23227
12264,1860,28967,18170
8030,419,16415,24337
28743,7516,16911,21500
23945,494,13206,3852
16323,19042,29212,23317
7741,22426,857,4269
24398,1990,2438,28960
25259,20318,17675,2713
9941,19828,19493,18825
15009,9315,23212,22921
17933,16605,14694,1597
21499,444,18156,16089
23685,19657,2320,14442
19876,4293,12133,20599
11928,3198,17015,22556
544,28597,10616,21356
19655,25756,3394,3444
22883,19635,1511,9467
28831,24901,5311,4081
25085,9505,22949,5904
12330,3129,27557,3286
26770,21764,11306,27912
1416,8531,1224,27164
12190,14216,7657,6983
1356,7161,17152,4491
6006,29081,18857,28802
3390,6618,6142,11731
16093,28694,5150,12746
13374,7189,27045,26739
5558,20249,14877,20444
22137,18205,12332,16981
29183,10944,27168,19832
17334,12512,21788,9027
6694,9165,26389,1741
11753,4251,19736,23680
24135,6471,13784,3910
4920,29297,11506,17745
4059,6664,13149,27064
18041,20457,14047,1699
22876,2921,4354,3179
27934,3288,29567,6998
26091,11910,27832,52
17616,28047,28417,28193
8567,10336,22056,12131
16951,28698,16875,28994
7546,476,28260,19121
12865,7878,27829,23349
11890,15591,7384,18344
19981,5951,22222,21353
18921,12602,3802,14677
8158,9238,20256,2641
21390,2184,274,10499
29210,11438,3202,24397
6650,9586,15385,6913
21429,11612,29257,25834
5394,3242,23114,3104
386,5429,22764,24661
7115,25498,26517,22451
3933,3158,27103,6115
23146,15890,15647,17847
19038,3521,16140,20124
27806,6432,22805,8923
1942,10074,1810,204
18659,9989,8400,25944
16518,980,17423,11248
16213,20581,6372,29413
457,5421,8037,15364
934,13460,17010,6319
3149,4494,4097,912
12516,5837,19228,11297
1015,17012,424,11602
6494,14250,19030,15413
28482,5877,10218,13694
11518,6091,5854,6299
15877,8193,6817,22537
1933,17578,6351,9555
14124,26334,11782,11749
5236,13556,18650,27530
19107,17193,8982,5676
4178,26891,13263,628
7651,12996,22519,25838
5405,8958,24665,23650
10094,5392,534,9715
10459,24074,3591,6993
25624,14926,18668,398
27388,20336,4080,28112
11155,19886,17203,25811
15408,27601,15596,4963
20443,28752,8502,9991
29664,14921,13887,17543
26804,28735,10431,9776
6621,24126,26745,18392
25054,7863,27252,19
7770,1010,19390,9786
26738,22583,24899,26061
28830,18326,25112,27965
17962,28691,3349,22684
23598,1535,2543,10458
13346,25505,13039,3509
1116,23044,25905,6598
11475,774,3774,7623
6790,16303,13984,3493
17263,815,29076,10330
14213,29352,14030,5919
17752,10789,3950,29918
